Date,Close
1/2/19,101.12
1/3/19,97.40
1/4/19,101.93
1/7/19,102.06
1/8/19,102.80
1/9/19,104.27
1/10/19,103.60
1/11/19,102.80
1/14/19,102.05
1/15/19,105.01
1/16/19,105.38
1/17/19,106.12
1/18/19,107.71
1/22/19,105.68
1/23/19,106.71
1/24/19,106.20
1/25/19,107.17
1/28/19,105.08
1/29/19,102.94
1/30/19,106.38
1/31/19,104.43
2/1/19,102.78
2/4/19,105.74
2/5/19,107.22
2/6/19,106.03
2/7/19,105.27
2/8/19,105.67
2/11/19,105.25
2/12/19,106.89
2/13/19,106.81
2/14/19,106.90
2/15/19,108.22
2/19/19,108.17
2/20/19,107.15
2/21/19,109.41
2/22/19,110.97
2/25/19,111.59
2/26/19,112.36
2/27/19,112.17
2/28/19,112.03
3/1/19,112.53
3/4/19,112.26
3/5/19,111.70
3/6/19,111.75
3/7/19,110.39
3/8/19,110.51
3/11/19,112.83
3/12/19,113.62
3/13/19,114.50
3/14/19,114.59
3/15/19,115.91
3/18/19,117.57
3/19/19,117.65
3/20/19,117.52
3/21/19,120.22
3/22/19,117.05
3/25/19,117.66
3/26/19,117.91
3/27/19,116.77
3/28/19,116.93
3/29/19,117.94
4/1/19,119.02
4/2/19,119.19
4/3/19,119.97
4/4/19,119.36
4/5/19,119.89
4/8/19,119.93
4/9/19,119.28
4/10/19,120.19
4/11/19,120.33
4/12/19,120.95
4/15/19,121.05
4/16/19,120.77
4/17/19,121.77
4/18/19,123.37
4/22/19,123.76
4/23/19,125.44
4/24/19,125.01
4/25/19,129.15
4/26/19,129.89
4/29/19,129.77
4/30/19,130.60
5/1/19,127.88
5/2/19,126.21
5/3/19,128.90
5/6/19,128.15
5/7/19,125.52
5/8/19,125.51
5/9/19,125.50
5/10/19,127.13
5/13/19,123.35
5/14/19,124.73
5/15/19,126.02
5/16/19,128.93
5/17/19,128.07
5/20/19,126.22
5/21/19,126.90
5/22/19,127.67
5/23/19,126.18
5/24/19,126.24
5/28/19,126.16
5/29/19,124.94
5/30/19,125.73
5/31/19,123.68
6/3/19,119.84
6/4/19,123.16
6/5/19,125.83
6/6/19,127.82
6/7/19,131.40
6/10/19,132.60
6/11/19,132.10
6/12/19,131.49
6/13/19,132.32
6/14/19,132.45
6/17/19,132.85
6/18/19,135.16
6/19/19,135.69
6/20/19,136.95
6/21/19,136.97
6/24/19,137.78
6/25/19,133.43
6/26/19,133.93
6/27/19,134.15
6/28/19,133.96
7/1/19,135.68
7/2/19,136.58
7/3/19,137.46
7/5/19,137.06
7/8/19,136.96
7/9/19,136.46
7/10/19,137.85
7/11/19,138.40
7/12/19,138.90
7/15/19,138.90
7/16/19,137.08
7/17/19,136.27
7/18/19,136.42
7/19/19,136.62
7/22/19,138.43
7/23/19,139.29
7/24/19,140.72
7/25/19,140.19
7/26/19,141.34
7/29/19,141.03
7/30/19,140.35
7/31/19,136.27
8/1/19,138.06
8/2/19,136.90
8/5/19,132.21
8/6/19,134.69
8/7/19,135.28
8/8/19,138.89
8/9/19,137.71
8/12/19,135.79
8/13/19,138.60
8/14/19,133.98
8/15/19,133.68
8/16/19,136.13
8/19/19,138.41
8/20/19,137.26
8/21/19,138.79
8/22/19,137.78
8/23/19,133.39
8/26/19,135.45
8/27/19,135.74
8/28/19,135.56
8/29/19,138.12
8/30/19,137.86
9/3/19,136.04
9/4/19,137.63
9/5/19,140.05
9/6/19,139.10
9/9/19,137.52
9/10/19,136.08
9/11/19,136.12
9/12/19,137.52
9/13/19,137.32
9/16/19,136.33
9/17/19,137.39
9/18/19,138.52
9/19/19,141.07
9/20/19,139.44
9/23/19,139.14
9/24/19,137.38
9/25/19,139.36
9/26/19,139.54
9/27/19,137.73
9/30/19,139.03
10/1/19,137.07
10/2/19,134.65
10/3/19,136.28
10/4/19,138.12
10/7/19,137.12
10/8/19,135.67
10/9/19,138.24
10/10/19,139.10
10/11/19,139.68
10/14/19,139.55
10/15/19,141.57
10/16/19,140.41
10/17/19,139.69
10/18/19,137.41
10/21/19,138.43
10/22/19,136.37
10/23/19,137.24
10/24/19,139.94
10/25/19,140.73
10/28/19,144.19
10/29/19,142.83
10/30/19,144.61
10/31/19,143.37
11/1/19,143.72
11/4/19,144.55
11/5/19,144.46
11/6/19,144.06
11/7/19,144.26
11/8/19,145.96
11/11/19,146.11
11/12/19,147.07
11/13/19,147.31
11/14/19,148.06
11/15/19,149.97
11/18/19,150.34
11/19/19,150.39
11/20/19,149.62
11/21/19,149.48
11/22/19,149.59
11/25/19,151.23
11/26/19,152.03
11/27/19,152.32
11/29/19,151.38
12/2/19,149.55
12/3/19,149.31
12/4/19,149.85
12/5/19,149.93
12/6/19,151.75
12/9/19,151.75
12/10/19,151.13
12/11/19,151.70
12/12/19,153.24
12/13/19,154.53
12/16/19,155.53
12/17/19,154.69
12/18/19,154.37
12/19/19,155.71
12/20/19,157.41
12/23/19,157.41
12/24/19,157.38
12/26/19,158.67
12/27/19,158.96
12/30/19,157.59
12/31/19,157.70
1/2/20,160.62
1/3/20,158.62
1/6/20,159.03
1/7/20,157.58
1/8/20,160.09
1/9/20,162.09
1/10/20,161.34
1/13/20,163.28
1/14/20,162.13
1/15/20,163.18
1/16/20,166.17
1/17/20,167.10
1/21/20,166.50
1/22/20,165.70
1/23/20,166.72
1/24/20,165.04
1/27/20,162.28
1/28/20,165.46
1/29/20,168.04
1/30/20,172.78
1/31/20,170.23
2/3/20,174.38
2/4/20,180.12
2/5/20,179.90
2/6/20,183.63
2/7/20,183.89
2/10/20,188.70
