Date,Close
1/2/19,267.66
1/3/19,271.20
1/4/19,297.57
1/7/19,315.34
1/8/19,320.27
1/9/19,319.96
1/10/19,324.66
1/11/19,337.59
1/14/19,332.94
1/15/19,354.64
1/16/19,351.39
1/17/19,353.19
1/18/19,339.10
1/22/19,325.16
1/23/19,321.99
1/24/19,326.67
1/25/19,338.05
1/28/19,335.66
1/29/19,328.90
1/30/19,340.66
1/31/19,339.50
2/1/19,339.85
2/4/19,351.34
2/5/19,355.81
2/6/19,352.19
2/7/19,344.71
2/8/19,347.57
2/11/19,345.73
2/12/19,359.97
2/13/19,351.77
2/14/19,359.07
2/15/19,356.87
2/19/19,361.92
2/20/19,359.91
2/21/19,356.97
2/22/19,363.02
2/25/19,363.91
2/26/19,364.97
2/27/19,362.87
2/28/19,358.10
3/1/19,357.32
3/4/19,351.04
3/5/19,354.30
3/6/19,359.61
3/7/19,352.60
3/8/19,349.60
3/11/19,358.86
3/12/19,356.27
3/13/19,361.21
3/14/19,358.82
3/15/19,361.46
3/18/19,363.44
3/19/19,358.78
3/20/19,375.22
3/21/19,377.87
3/22/19,361.01
3/25/19,366.23
3/26/19,359.97
3/27/19,353.37
3/28/19,354.61
3/29/19,356.56
4/1/19,366.96
4/2/19,367.72
4/3/19,369.75
4/4/19,367.88
4/5/19,365.49
4/8/19,361.41
4/9/19,364.71
4/10/19,363.92
4/11/19,367.65
4/12/19,351.14
4/15/19,348.87
4/16/19,359.46
4/17/19,354.74
4/18/19,360.35
4/22/19,377.34
4/23/19,381.89
4/24/19,374.23
4/25/19,368.33
4/26/19,374.85
4/29/19,371.83
4/30/19,370.54
5/1/19,378.81
5/2/19,379.06
5/3/19,385.03
5/6/19,378.67
5/7/19,370.46
5/8/19,364.37
5/9/19,362.75
5/10/19,361.04
5/13/19,345.26
5/14/19,345.61
5/15/19,354.99
5/16/19,359.31
5/17/19,354.45
5/20/19,348.11
5/21/19,354.27
5/22/19,359.73
5/23/19,352.21
5/24/19,354.39
5/28/19,354.78
5/29/19,349.19
5/30/19,351.85
5/31/19,343.28
6/3/19,336.63
6/4/19,353.40
6/5/19,355.73
6/6/19,357.13
6/7/19,360.87
6/10/19,352.01
6/11/19,351.27
6/12/19,345.56
6/13/19,343.43
6/14/19,339.73
6/17/19,350.62
6/18/19,357.12
6/19/19,363.52
6/20/19,365.21
6/21/19,369.21
6/24/19,371.04
6/25/19,360.30
6/26/19,362.20
6/27/19,370.02
6/28/19,367.32
7/1/19,374.60
7/2/19,375.43
7/3/19,381.72
7/5/19,380.55
7/8/19,376.16
7/9/19,379.93
7/10/19,381.00
7/11/19,379.50
7/12/19,373.25
7/15/19,366.60
7/16/19,365.99
7/17/19,362.44
7/18/19,325.21
7/19/19,315.10
7/22/19,310.62
7/23/19,307.30
7/24/19,317.94
7/25/19,326.46
7/26/19,335.78
7/29/19,332.70
7/30/19,325.93
7/31/19,322.99
8/1/19,319.50
8/2/19,318.83
8/5/19,307.63
8/6/19,310.10
8/7/19,304.29
8/8/19,315.90
8/9/19,308.93
8/12/19,310.83
8/13/19,312.28
8/14/19,299.11
8/15/19,295.76
8/16/19,302.80
8/19/19,309.38
8/20/19,298.99
8/21/19,297.81
